Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos
2017-03-15 01:11:21.142,0.001,TCP  ,192.168.220.16,51510,192.168.200.9,135,2,     112,1,...RS.,0
2017-03-15 01:11:39.552,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52290,1,     200,1,.AP...,32
2017-03-15 01:11:39.479,0.049,TCP  ,EXT_SERVER,8000,192.168.200.9,51023,6,     593,1,.AP..F,32
2017-03-15 01:11:39.687,0.073,TCP  ,EXT_SERVER,8000,192.168.200.9,51040,7,    1824,1,.AP.SF,32
2017-03-15 01:11:56.150,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,1443,1,      58,1,....S.,0
2017-03-15 01:12:10.625,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,49194,1,     200,1,.AP...,32
2017-03-15 01:12:41.670,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,50110,1,     200,1,.AP...,32
2017-03-15 01:12:42.155,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,6565,1,      58,1,....S.,0
2017-03-15 01:12:57.157,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,6565,1,      58,1,....S.,0
2017-03-15 01:13:12.746,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52289,1,     200,1,.AP...,32
2017-03-15 01:13:15.161,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,4006,1,      58,1,....S.,0
2017-03-15 01:13:32.164,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,4006,1,      58,1,....S.,0
2017-03-15 01:13:39.477,0.054000000000000006,TCP  ,EXT_SERVER,8000,192.168.200.9,51071,7,     654,1,.AP.SF,32
2017-03-15 01:13:39.524,0.067,TCP  ,EXT_SERVER,8000,192.168.200.9,51072,7,     800,1,.AP.SF,32
2017-03-15 01:13:39.530,1.374,TCP  ,EXT_SERVER,8000,192.168.200.9,51073,7,     737,1,.AP.SF,32
2017-03-15 01:13:43.811,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52290,1,     200,1,.AP...,32
2017-03-15 01:13:51.170,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,50006,1,      58,1,....S.,0
2017-03-15 01:14:06.171,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,50006,1,      58,1,....S.,0
2017-03-15 01:14:14.891,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,49194,1,     200,1,.AP...,32
2017-03-15 01:14:24.176,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,32774,1,      58,1,....S.,0
2017-03-15 01:14:40.177,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,32774,1,      58,1,....S.,0
2017-03-15 01:14:46.043,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,50110,1,     200,1,.AP...,32
2017-03-15 01:14:55.180,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,2179,1,      58,1,....S.,0
2017-03-15 01:15:10.180,0.004,TCP  ,192.168.220.16,51511,192.168.200.9,135,2,     112,1,...RS.,0
2017-03-15 01:15:17.029,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52289,1,     200,1,.AP...,32
2017-03-15 01:15:45.188,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,2179,1,      58,1,....S.,0
2017-03-15 01:15:48.121,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52290,1,     200,1,.AP...,32
2017-03-15 01:16:19.119,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,49194,1,     200,1,.AP...,32
2017-03-15 01:11:21.142,0.001,TCP  ,192.168.220.16,51510,192.168.200.9,135,2,112,1,...RS.,0
2017-03-15 01:11:39.552,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52290,1,200,1,.AP...,32
2017-03-15 01:11:39.479,0.049,TCP  ,EXT_SERVER,8000,192.168.200.9,51023,6,593,1,.AP..F,32
2017-03-15 01:11:39.687,0.073,TCP  ,EXT_SERVER,8000,192.168.200.9,51040,7,1824,1,.AP.SF,32
2017-03-15 01:11:56.150,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,1443,1,58,1,....S.,0
2017-03-15 01:12:10.625,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,49194,1,200,1,.AP...,32
2017-03-15 01:12:41.670,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,50110,1,200,1,.AP...,32
2017-03-15 01:12:42.155,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,6565,1,58,1,....S.,0
2017-03-15 01:12:57.157,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,6565,1,58,1,....S.,0
2017-03-15 01:13:12.746,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52289,1,200,1,.AP...,32
2017-03-15 01:13:15.161,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,4006,1,58,1,....S.,0
2017-03-15 01:13:32.164,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,4006,1,58,1,....S.,0
2017-03-15 01:13:39.477,0.054000000000000006,TCP  ,EXT_SERVER,8000,192.168.200.9,51071,7,654,1,.AP.SF,32
2017-03-15 01:13:39.524,0.067,TCP  ,EXT_SERVER,8000,192.168.200.9,51072,7,800,1,.AP.SF,32
2017-03-15 01:13:39.530,1.374,TCP  ,EXT_SERVER,8000,192.168.200.9,51073,7,737,1,.AP.SF,32
2017-03-15 01:13:43.811,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52290,1,200,1,.AP...,32
2017-03-15 01:13:51.170,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,50006,1,58,1,....S.,0
2017-03-15 01:14:06.171,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,50006,1,58,1,....S.,0
2017-03-15 01:14:14.891,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,49194,1,200,1,.AP...,32
2017-03-15 01:14:24.176,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,32774,1,58,1,....S.,0
2017-03-15 01:14:40.177,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,32774,1,58,1,....S.,0
2017-03-15 01:14:46.043,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,50110,1,200,1,.AP...,32
2017-03-15 01:14:55.180,0.0,TCP  ,192.168.220.16,51357,192.168.200.9,2179,1,58,1,....S.,0
2017-03-15 01:15:10.180,0.004,TCP  ,192.168.220.16,51511,192.168.200.9,135,2,112,1,...RS.,0
2017-03-15 01:15:17.029,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52289,1,200,1,.AP...,32
2017-03-15 01:15:45.188,0.0,TCP  ,192.168.220.16,51358,192.168.200.9,2179,1,58,1,....S.,0
2017-03-15 01:15:48.121,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,52290,1,200,1,.AP...,32
2017-03-15 01:16:19.119,0.0,TCP  ,EXT_SERVER,8082,192.168.200.9,49194,1,200,1,.AP...,32
